場所,コースタイプ,芝・ダ,距離帯,馬場分類,枠ゾーン,血統区分,血統名,母数,勝利数,複勝数,勝率,複勝率,単勝回収率,複勝回収率,平均人気,基準複勝率,複勝率差,リフト,評価,特徴コメント
京都,平坦・スピード型,ダ,中距離(1700-2000),良,外枠(7-8),母父,キングカメハメハ,84,12,24,0.1429,0.2857,78.3,0.0,6.99,0.2066,0.0791,1.383,B,京都ダ中距離(1700-2000)・良・外枠(7-8)で母父「キングカメハメハ」は基準比リフト1.383
福島,小回り・機動型,芝,中距離(1700-2000),良,中枠(3-6),母父,トニービン,126,16,38,0.127,0.3016,111.9,0.0,7.33,0.2188,0.0828,1.378,B,福島芝中距離(1700-2000)・良・中枠(3-6)で母父「トニービン」は基準比リフト1.378
中山,坂あり・パワー型,ダ,中距離(1700-2000),稍,中枠(3-6),母父,フジキセキ,91,8,26,0.0879,0.2857,49.8,0.0,7.07,0.2081,0.0776,1.373,B,中山ダ中距離(1700-2000)・稍・中枠(3-6)で母父「フジキセキ」は基準比リフト1.373
阪神,坂あり・パワー型,ダ,短中距離(1400-1600),良,中枠(3-6),母父,キングカメハメハ,104,3,29,0.0288,0.2788,11.4,0.0,7.15,0.2031,0.0757,1.373,B,阪神ダ短中距離(1400-1600)・良・中枠(3-6)で母父「キングカメハメハ」は基準比リフト1.373
中山,坂あり・パワー型,芝,中距離(1700-2000),良,中枠(3-6),母父,ディープインパクト,128,14,38,0.1094,0.2969,104.0,0.0,6.84,0.2165,0.0804,1.371,B,中山芝中距離(1700-2000)・良・中枠(3-6)で母父「ディープインパクト」は基準比リフト1.371
阪神,坂あり・パワー型,ダ,中距離(1700-2000),良,外枠(7-8),母父,クロフネ,134,14,43,0.1045,0.3209,81.6,0.0,6.48,0.2351,0.0858,1.365,B,阪神ダ中距離(1700-2000)・良・外枠(7-8)で母父「クロフネ」は基準比リフト1.365
函館,小回り・持続型,芝,中距離(1700-2000),良,内枠(1-2),母父,サンデーサイレンス,83,11,32,0.1325,0.3855,85.2,0.0,5.89,0.2826,0.1029,1.364,B,函館芝中距離(1700-2000)・良・内枠(1-2)で母父「サンデーサイレンス」は基準比リフト1.364
東京,直線長め・持続型,ダ,短距離(1000-1300),良,中枠(3-6),母父,サンデーサイレンス,82,6,22,0.0732,0.2683,32.1,0.0,7.4,0.1967,0.0716,1.364,B,東京ダ短距離(1000-1300)・良・中枠(3-6)で母父「サンデーサイレンス」は基準比リフト1.364
東京,直線長め・持続型,ダ,短中距離(1400-1600),良,外枠(7-8),母父,クロフネ,122,16,36,0.1311,0.2951,89.7,0.0,7.38,0.2165,0.0786,1.363,B,東京ダ短中距離(1400-1600)・良・外枠(7-8)で母父「クロフネ」は基準比リフト1.363
小倉,小回り・機動型,ダ,中距離(1700-2000),良,内枠(1-2),母父,サンデーサイレンス,111,13,32,0.1171,0.2883,103.4,0.0,7.44,0.2118,0.0765,1.361,B,小倉ダ中距離(1700-2000)・良・内枠(1-2)で母父「サンデーサイレンス」は基準比リフト1.361
札幌,小回り・持続型,ダ,中距離(1700-2000),良,中枠(3-6),母父,フジキセキ,84,12,28,0.1429,0.3333,95.2,0.0,7.25,0.2469,0.0864,1.35,B,札幌ダ中距離(1700-2000)・良・中枠(3-6)で母父「フジキセキ」は基準比リフト1.35
東京,直線長め・持続型,芝,短中距離(1400-1600),稍,中枠(3-6),母父,サンデーサイレンス,95,8,25,0.0842,0.2632,76.7,0.0,7.46,0.195,0.0682,1.35,B,東京芝短中距離(1400-1600)・稍・中枠(3-6)で母父「サンデーサイレンス」は基準比リフト1.35
阪神,坂あり・パワー型,芝,短中距離(1400-1600),良,中枠(3-6),母父,シンボリクリスエス,89,8,26,0.0899,0.2921,70.6,0.0,7.48,0.2169,0.0752,1.347,B,阪神芝短中距離(1400-1600)・良・中枠(3-6)で母父「シンボリクリスエス」は基準比リフト1.347
阪神,坂あり・パワー型,ダ,中距離(1700-2000),良,内枠(1-2),母父,クロフネ,83,5,23,0.0602,0.2771,24.7,0.0,6.45,0.206,0.0711,1.345,B,阪神ダ中距離(1700-2000)・良・内枠(1-2)で母父「クロフネ」は基準比リフト1.345
阪神,坂あり・パワー型,芝,中距離(1700-2000),良,外枠(7-8),母父,キングカメハメハ,83,8,26,0.0964,0.3133,40.4,0.0,6.08,0.2332,0.0801,1.343,B,阪神芝中距離(1700-2000)・良・外枠(7-8)で母父「キングカメハメハ」は基準比リフト1.343
阪神,坂あり・パワー型,芝,短中距離(1400-1600),良,外枠(7-8),母父,スペシャルウィーク,82,9,21,0.1098,0.2561,76.8,0.0,8.59,0.1907,0.0654,1.343,B,阪神芝短中距離(1400-1600)・良・外枠(7-8)で母父「スペシャルウィーク」は基準比リフト1.343
東京,直線長め・持続型,ダ,短中距離(1400-1600),良,内枠(1-2),母父,フォーティナイナー,80,8,18,0.1,0.225,131.0,0.0,8.78,0.1677,0.0573,1.342,B,東京ダ短中距離(1400-1600)・良・内枠(1-2)で母父「フォーティナイナー」は基準比リフト1.342
小倉,小回り・機動型,ダ,中距離(1700-2000),良,中枠(3-6),母父,ブライアンズタイム,138,12,36,0.087,0.2609,186.2,0.0,8.03,0.1947,0.0662,1.34,B,小倉ダ中距離(1700-2000)・良・中枠(3-6)で母父「ブライアンズタイム」は基準比リフト1.34
京都,平坦・スピード型,ダ,中距離(1700-2000),良,外枠(7-8),母父,クロフネ,87,8,24,0.092,0.2759,33.7,0.0,6.29,0.2066,0.0693,1.335,B,京都ダ中距離(1700-2000)・良・外枠(7-8)で母父「クロフネ」は基準比リフト1.335
東京,直線長め・持続型,ダ,短中距離(1400-1600),良,外枠(7-8),母父,キングカメハメハ,111,10,32,0.0901,0.2883,40.3,0.0,7.37,0.2165,0.0718,1.332,B,東京ダ短中距離(1400-1600)・良・外枠(7-8)で母父「キングカメハメハ」は基準比リフト1.332
中山,坂あり・パワー型,ダ,中距離(1700-2000),稍,外枠(7-8),母父,サンデーサイレンス,92,8,26,0.087,0.2826,136.7,0.0,7.52,0.2128,0.0698,1.328,B,中山ダ中距離(1700-2000)・稍・外枠(7-8)で母父「サンデーサイレンス」は基準比リフト1.328
阪神,坂あり・パワー型,芝,中距離(1700-2000),良,外枠(7-8),母父,トニービン,110,11,34,0.1,0.3091,278.9,0.0,6.93,0.2332,0.0759,1.325,B,阪神芝中距離(1700-2000)・良・外枠(7-8)で母父「トニービン」は基準比リフト1.325
中山,坂あり・パワー型,ダ,中距離(1700-2000),重不良,中枠(3-6),母父,サンデーサイレンス,104,13,28,0.125,0.2692,110.6,0.0,7.36,0.2032,0.066,1.325,B,中山ダ中距離(1700-2000)・重不良・中枠(3-6)で母父「サンデーサイレンス」は基準比リフト1.325
京都,平坦・スピード型,芝,中長距離(2100-2400),良,内枠(1-2),母父,サンデーサイレンス,91,14,35,0.1538,0.3846,281.1,0.0,6.57,0.2911,0.0935,1.321,B,京都芝中長距離(2100-2400)・良・内枠(1-2)で母父「サンデーサイレンス」は基準比リフト1.321
小倉,小回り・機動型,芝,短距離(1000-1300),良,外枠(7-8),母父,タイキシャトル,107,10,28,0.0935,0.2617,105.0,0.0,8.39,0.1981,0.0636,1.321,B,小倉芝短距離(1000-1300)・良・外枠(7-8)で母父「タイキシャトル」は基準比リフト1.321
