分類,場所,コースタイプ,芝・ダ,距離帯,馬場分類,枠ゾーン,血統区分,血統名,母数,勝利数,複勝数,勝率,複勝率,単勝回収率,複勝回収率,平均人気,基準複勝率,複勝率差,リフト,評価,特徴コメント
競馬場×距離帯×馬場×枠,阪神,坂あり・パワー型,芝,短中距離(1400-1600),良,中枠(3-6),父,ハーツクライ,219,21,67,0.0959,0.3059,85.4,0.0,7.01,0.2169,0.089,1.41,A,阪神芝短中距離(1400-1600)・良・中枠(3-6)で父「ハーツクライ」は基準比リフト1.41
競馬場×距離帯×馬場×枠,中山,坂あり・パワー型,芝,中距離(1700-2000),良,中枠(3-6),父,ハーツクライ,296,38,90,0.1284,0.3041,69.6,0.0,6.09,0.2165,0.0876,1.405,A,中山芝中距離(1700-2000)・良・中枠(3-6)で父「ハーツクライ」は基準比リフト1.405
競馬場×距離帯×馬場×枠,東京,直線長め・持続型,ダ,短中距離(1400-1600),良,外枠(7-8),父,ヘニーヒューズ,155,18,47,0.1161,0.3032,55.5,0.0,5.66,0.2165,0.0867,1.4,A,東京ダ短中距離(1400-1600)・良・外枠(7-8)で父「ヘニーヒューズ」は基準比リフト1.4
競馬場×距離帯×馬場×枠,中京,直線長め・持続型,芝,中距離(1700-2000),良,中枠(3-6),父,ディープインパクト,230,19,71,0.0826,0.3087,69.3,0.0,5.23,0.2207,0.088,1.399,A,中京芝中距離(1700-2000)・良・中枠(3-6)で父「ディープインパクト」は基準比リフト1.399
競馬場×距離帯×馬場×枠,京都,平坦・スピード型,芝,短中距離(1400-1600),良,中枠(3-6),母父,トニービン,151,14,45,0.0927,0.298,59.1,0.0,6.7,0.2142,0.0838,1.391,A,京都芝短中距離(1400-1600)・良・中枠(3-6)で母父「トニービン」は基準比リフト1.391
競馬場×距離帯×馬場×枠,阪神,坂あり・パワー型,芝,短中距離(1400-1600),稍,内枠(1-2),父系統,父系統不明,160,18,49,0.1125,0.3062,200.7,0.0,7.18,0.2203,0.0859,1.39,A,阪神芝短中距離(1400-1600)・稍・内枠(1-2)で父系統「父系統不明」は基準比リフト1.39
競馬場×距離帯×馬場×枠,札幌,小回り・持続型,芝,中距離(1700-2000),良,外枠(7-8),父系統,父系統不明,322,25,93,0.0776,0.2888,108.4,0.0,7.01,0.2079,0.0809,1.389,A,札幌芝中距離(1700-2000)・良・外枠(7-8)で父系統「父系統不明」は基準比リフト1.389
競馬場×距離帯×馬場×枠,阪神,坂あり・パワー型,ダ,短距離(1000-1300),重不良,中枠(3-6),母父系統,ネイティヴダンサー系,259,29,73,0.112,0.2819,152.7,0.0,7.29,0.203,0.0789,1.389,A,阪神ダ短距離(1000-1300)・重不良・中枠(3-6)で母父系統「ネイティヴダンサー系」は基準比リフト1.389
競馬場×距離帯×馬場×枠,小倉,小回り・機動型,ダ,中距離(1700-2000),稍,内枠(1-2),父系統,ネイティヴダンサー系,150,18,42,0.12,0.28,218.7,0.0,7.63,0.2017,0.0783,1.388,A,小倉ダ中距離(1700-2000)・稍・内枠(1-2)で父系統「ネイティヴダンサー系」は基準比リフト1.388
競馬場×距離帯×馬場×枠,小倉,小回り・機動型,芝,中距離(1700-2000),良,中枠(3-6),父,ハーツクライ,257,23,79,0.0895,0.3074,57.4,0.0,6.03,0.2218,0.0856,1.386,A,小倉芝中距離(1700-2000)・良・中枠(3-6)で父「ハーツクライ」は基準比リフト1.386
