場所,コースタイプ,芝・ダ,距離帯,馬場分類,枠ゾーン,血統区分,血統名,母数,勝利数,複勝数,勝率,複勝率,単勝回収率,複勝回収率,平均人気,基準複勝率,複勝率差,リフト,評価,特徴コメント
中京,直線長め・持続型,ダ,短中距離(1400-1600),稍,中枠(3-6),母父系統,ロイヤルチャージャー系,320,18,69,0.0562,0.2156,159.3,0.0,8.42,0.1921,0.0235,1.122,A,中京ダ短中距離(1400-1600)・稍・中枠(3-6)で母父系統「ロイヤルチャージャー系」は基準比リフト1.122
函館,小回り・持続型,ダ,中距離(1700-2000),稍,中枠(3-6),母父系統,ネイティヴダンサー系,192,18,51,0.0938,0.2656,63.7,0.0,6.58,0.2369,0.0287,1.121,A,函館ダ中距離(1700-2000)・稍・中枠(3-6)で母父系統「ネイティヴダンサー系」は基準比リフト1.121
中山,坂あり・パワー型,ダ,短距離(1000-1300),稍,内枠(1-2),母父系統,ニアークティック系,435,20,88,0.046,0.2023,65.3,0.0,8.07,0.1805,0.0218,1.121,A,中山ダ短距離(1000-1300)・稍・内枠(1-2)で母父系統「ニアークティック系」は基準比リフト1.121
阪神,坂あり・パワー型,ダ,短距離(1000-1300),不,中枠(3-6),母父系統,ロイヤルチャージャー系,190,12,45,0.0632,0.2368,63.5,0.0,8.44,0.2117,0.0251,1.119,A,阪神ダ短距離(1000-1300)・不・中枠(3-6)で母父系統「ロイヤルチャージャー系」は基準比リフト1.119
福島,小回り・機動型,ダ,短距離(1000-1300),良,内枠(1-2),母父系統,ニアークティック系,335,27,72,0.0806,0.2149,178.7,0.0,8.01,0.1921,0.0228,1.119,A,福島ダ短距離(1000-1300)・良・内枠(1-2)で母父系統「ニアークティック系」は基準比リフト1.119
東京,直線長め・持続型,芝,長距離(2500以上),良,中枠(3-6),母父系統,ロイヤルチャージャー系,173,10,38,0.0578,0.2197,29.9,0.0,7.61,0.1966,0.0231,1.117,A,東京芝長距離(2500以上)・良・中枠(3-6)で母父系統「ロイヤルチャージャー系」は基準比リフト1.117
東京,直線長め・持続型,芝,短中距離(1400-1600),稍,外枠(7-8),母父系統,ネイティヴダンサー系,220,18,51,0.0818,0.2318,86.4,0.0,8.03,0.2077,0.0241,1.116,A,東京芝短中距離(1400-1600)・稍・外枠(7-8)で母父系統「ネイティヴダンサー系」は基準比リフト1.116
阪神,坂あり・パワー型,芝,短中距離(1400-1600),稍,中枠(3-6),母父系統,ニアークティック系,404,27,93,0.0668,0.2302,91.1,0.0,8.11,0.2062,0.024,1.116,A,阪神芝短中距離(1400-1600)・稍・中枠(3-6)で母父系統「ニアークティック系」は基準比リフト1.116
小倉,小回り・機動型,ダ,中距離(1700-2000),不,中枠(3-6),母父系統,ネイティヴダンサー系,169,14,38,0.0828,0.2249,120.9,0.0,7.79,0.2015,0.0234,1.116,A,小倉ダ中距離(1700-2000)・不・中枠(3-6)で母父系統「ネイティヴダンサー系」は基準比リフト1.116
中山,坂あり・パワー型,ダ,中距離(1700-2000),不,中枠(3-6),母父系統,ニアークティック系,314,33,68,0.1051,0.2166,111.6,0.0,7.67,0.1941,0.0225,1.116,A,中山ダ中距離(1700-2000)・不・中枠(3-6)で母父系統「ニアークティック系」は基準比リフト1.116
