競馬場,芝ダ,距離,条件数,消寄項目1,消寄条件1,消寄項目2,消寄条件2,消寄項目3,消寄条件3,過去該当頭数,過去複勝圏内数,過去複勝率,コース頭数,コース複勝率,リフト,該当率,消寄ランク,広すぎ注意,消寄理由
中京,ダ,1200,2,芝ダ替わり,芝→ダ,頭数変化,同頭数,,,32,0,0.0,2173,19.51,0.0,1.47,消寄A,,芝ダ替わり=芝→ダ + 頭数変化=同頭数
中京,ダ,1200,2,頭数変化,今回かなり頭数増,休み明け区分,休み明け3戦目,,,26,0,0.0,2173,19.51,0.0,1.2,消寄A,,頭数変化=今回かなり頭数増 + 休み明け区分=休み明け3戦目
中京,ダ,1200,2,距離変化帯,短縮300-400m,頭数変化,今回かなり頭数増,,,23,0,0.0,2173,19.51,0.0,1.06,消寄A,,距離変化帯=短縮300-400m + 頭数変化=今回かなり頭数増
中京,ダ,1200,2,芝ダ替わり,芝→ダ,前走着差帯,2.0秒以上負け,,,22,0,0.0,2173,19.51,0.0,1.01,消寄A,,芝ダ替わり=芝→ダ + 前走着差帯=2.0秒以上負け
中京,ダ,1200,2,距離変化帯,短縮300-400m,前走脚質帯,先行/好位,,,21,0,0.0,2173,19.51,0.0,0.97,消寄A,,距離変化帯=短縮300-400m + 前走脚質帯=先行/好位
中京,ダ,1200,2,芝ダ替わり,芝→ダ,前走脚質帯,追込/後方,,,47,1,2.13,2173,19.51,0.109,2.16,消寄A,,芝ダ替わり=芝→ダ + 前走脚質帯=追込/後方
中京,ダ,1200,2,芝ダ替わり,芝→ダ,前走4角位置,4角11番手以下,,,37,1,2.7,2173,19.51,0.139,1.7,消寄A,,芝ダ替わり=芝→ダ + 前走4角位置=4角11番手以下
中京,ダ,1200,2,前走着差帯,2.0秒以上負け,休み明け区分,休み明け4戦目以降,,,72,2,2.78,2173,19.51,0.142,3.31,消寄A,,前走着差帯=2.0秒以上負け + 休み明け区分=休み明け4戦目以降
中京,ダ,1200,2,前走着差帯,2.0秒以上負け,頭数変化,今回頭数増,,,66,2,3.03,2173,19.51,0.155,3.04,消寄B,,前走着差帯=2.0秒以上負け + 頭数変化=今回頭数増
中京,ダ,1200,2,前走上り順帯,上り10位以下,前走4角位置,4角11番手以下,,,83,3,3.61,2173,19.51,0.185,3.82,消寄B,,前走上り順帯=上り10位以下 + 前走4角位置=4角11番手以下
中京,ダ,1200,2,前走着差帯,2.0秒以上負け,前走脚質帯,先行/好位,,,68,3,4.41,2173,19.51,0.226,3.13,消寄B,,前走着差帯=2.0秒以上負け + 前走脚質帯=先行/好位
中京,ダ,1200,2,前走着差帯,2.0秒以上負け,前走4角位置,4角11番手以下,,,87,4,4.6,2173,19.51,0.236,4.0,消寄B,,前走着差帯=2.0秒以上負け + 前走4角位置=4角11番手以下
中京,ダ,1200,2,距離変化帯,短縮100-200m,前走着差帯,2.0秒以上負け,,,100,6,6.0,2173,19.51,0.307,4.6,消寄C,,距離変化帯=短縮100-200m + 前走着差帯=2.0秒以上負け
中京,ダ,1200,2,前走着差帯,2.0秒以上負け,前走脚質帯,追込/後方,,,107,7,6.54,2173,19.51,0.335,4.92,消寄C,,前走着差帯=2.0秒以上負け + 前走脚質帯=追込/後方
中京,ダ,1200,2,前走上り順帯,上り6-9位,前走脚質帯,追込/後方,,,105,7,6.67,2173,19.51,0.342,4.83,消寄C,,前走上り順帯=上り6-9位 + 前走脚質帯=追込/後方
中京,ダ,1200,2,前走着差帯,1.5-1.9秒負け,前走脚質帯,差し/中団,,,102,7,6.86,2173,19.51,0.352,4.69,消寄C,,前走着差帯=1.5-1.9秒負け + 前走脚質帯=差し/中団
中京,ダ,1200,2,前走着差帯,2.0秒以上負け,今回頭数帯,16頭以上,,,218,15,6.88,2173,19.51,0.353,10.03,消寄C,,前走着差帯=2.0秒以上負け + 今回頭数帯=16頭以上
中京,ダ,1200,2,前走着差帯,1.5-1.9秒負け,頭数変化,同頭数,,,134,10,7.46,2173,19.51,0.382,6.17,消寄C,,前走着差帯=1.5-1.9秒負け + 頭数変化=同頭数
中京,ダ,1200,2,前走上り順帯,上り10位以下,前走4角位置,4角7-10番手,,,200,15,7.5,2173,19.51,0.384,9.2,消寄C,,前走上り順帯=上り10位以下 + 前走4角位置=4角7-10番手
中京,ダ,1200,2,前走着順帯,前走10着以下,前走脚質帯,追込/後方,,,252,19,7.54,2173,19.51,0.386,11.6,消寄C,,前走着順帯=前走10着以下 + 前走脚質帯=追込/後方
中京,ダ,1400,2,芝ダ替わり,芝→ダ,前走脚質帯,逃げ,,,37,0,0.0,3669,20.01,0.0,1.01,消寄A,,芝ダ替わり=芝→ダ + 前走脚質帯=逃げ
中京,ダ,1400,2,芝ダ替わり,芝→ダ,前走4角位置,4角1番手,,,33,0,0.0,3669,20.01,0.0,0.9,消寄A,,芝ダ替わり=芝→ダ + 前走4角位置=4角1番手
中京,ダ,1400,2,距離変化帯,延長300-400m,休み明け区分,休み明け2戦目,,,21,0,0.0,3669,20.01,0.0,0.57,消寄A,,距離変化帯=延長300-400m + 休み明け区分=休み明け2戦目
中京,ダ,1400,2,前走着差帯,1.5-1.9秒負け,頭数変化,今回かなり頭数増,,,37,1,2.7,3669,20.01,0.135,1.01,消寄A,,前走着差帯=1.5-1.9秒負け + 頭数変化=今回かなり頭数増
中京,ダ,1400,2,距離変化帯,短縮300-400m,前走脚質帯,追込/後方,,,128,6,4.69,3669,20.01,0.234,3.49,消寄B,,距離変化帯=短縮300-400m + 前走脚質帯=追込/後方
中京,ダ,1400,2,距離変化帯,延長300-400m,今回頭数帯,16頭以上,,,60,3,5.0,3669,20.01,0.25,1.64,消寄B,,距離変化帯=延長300-400m + 今回頭数帯=16頭以上
中京,ダ,1400,2,前走着差帯,2.0秒以上負け,前走4角位置,4角7-10番手,,,161,9,5.59,3669,20.01,0.279,4.39,消寄C,,前走着差帯=2.0秒以上負け + 前走4角位置=4角7-10番手
中京,ダ,1400,2,前走上り順帯,上り10位以下,前走脚質帯,追込/後方,,,201,12,5.97,3669,20.01,0.298,5.48,消寄C,,前走上り順帯=上り10位以下 + 前走脚質帯=追込/後方
中京,ダ,1400,2,前走着順帯,前走10着以下,休み明け区分,休み明け3戦目,,,114,7,6.14,3669,20.01,0.307,3.11,消寄C,,前走着順帯=前走10着以下 + 休み明け区分=休み明け3戦目
中京,ダ,1400,2,前走着順帯,前走1着,頭数変化,今回かなり頭数増,,,103,7,6.8,3669,20.01,0.34,2.81,消寄C,,前走着順帯=前走1着 + 頭数変化=今回かなり頭数増
中京,ダ,1400,2,前走上り順帯,上り10位以下,前走4角位置,4角11番手以下,,,159,11,6.92,3669,20.01,0.346,4.33,消寄C,,前走上り順帯=上り10位以下 + 前走4角位置=4角11番手以下
中京,ダ,1400,2,前走着差帯,1.5-1.9秒負け,前走着順帯,前走6-9着,,,114,8,7.02,3669,20.01,0.351,3.11,消寄C,,前走着差帯=1.5-1.9秒負け + 前走着順帯=前走6-9着
中京,ダ,1400,2,前走着差帯,2.0秒以上負け,前走脚質帯,追込/後方,,,213,15,7.04,3669,20.01,0.352,5.81,消寄C,,前走着差帯=2.0秒以上負け + 前走脚質帯=追込/後方
中京,ダ,1400,2,前走着差帯,勝ち/同タイム,頭数変化,今回かなり頭数増,,,111,8,7.21,3669,20.01,0.36,3.03,消寄C,,前走着差帯=勝ち/同タイム + 頭数変化=今回かなり頭数増
中京,ダ,1400,2,前走着差帯,2.0秒以上負け,休み明け区分,休み明け2戦目,,,123,9,7.32,3669,20.01,0.366,3.35,消寄C,,前走着差帯=2.0秒以上負け + 休み明け区分=休み明け2戦目
中京,ダ,1400,2,距離変化帯,同距離,前走着差帯,2.0秒以上負け,,,158,12,7.59,3669,20.01,0.38,4.31,消寄C,,距離変化帯=同距離 + 前走着差帯=2.0秒以上負け
中京,ダ,1400,2,前走着差帯,1.5-1.9秒負け,前走4角位置,4角11番手以下,,,143,11,7.69,3669,20.01,0.385,3.9,消寄C,,前走着差帯=1.5-1.9秒負け + 前走4角位置=4角11番手以下
中京,ダ,1400,2,頭数変化,今回かなり頭数増,休み明け区分,休み明け初戦,,,167,13,7.78,3669,20.01,0.389,4.55,消寄C,,頭数変化=今回かなり頭数増 + 休み明け区分=休み明け初戦
中京,ダ,1400,2,前走着差帯,2.0秒以上負け,前走脚質帯,差し/中団,,,179,14,7.82,3669,20.01,0.391,4.88,消寄C,,前走着差帯=2.0秒以上負け + 前走脚質帯=差し/中団
中京,ダ,1400,2,前走上り順帯,上り6-9位,前走4角位置,4角11番手以下,,,164,13,7.93,3669,20.01,0.396,4.47,消寄C,,前走上り順帯=上り6-9位 + 前走4角位置=4角11番手以下
中京,ダ,1800,2,距離変化帯,延長500m以上,今回頭数帯,12-15頭,,,23,0,0.0,3887,22.41,0.0,0.59,消寄A,,距離変化帯=延長500m以上 + 今回頭数帯=12-15頭
中京,ダ,1800,2,距離変化帯,延長500m以上,前走着順帯,前走10着以下,,,44,1,2.27,3887,22.41,0.101,1.13,消寄A,,距離変化帯=延長500m以上 + 前走着順帯=前走10着以下
中京,ダ,1800,2,距離変化帯,延長500m以上,前走脚質帯,追込/後方,,,40,1,2.5,3887,22.41,0.112,1.03,消寄A,,距離変化帯=延長500m以上 + 前走脚質帯=追込/後方
中京,ダ,1800,2,距離変化帯,延長500m以上,前走4角位置,4角11番手以下,,,35,1,2.86,3887,22.41,0.128,0.9,消寄A,,距離変化帯=延長500m以上 + 前走4角位置=4角11番手以下
中京,ダ,1800,2,距離変化帯,延長300-400m,前走着順帯,前走10着以下,,,85,3,3.53,3887,22.41,0.158,2.19,消寄B,,距離変化帯=延長300-400m + 前走着順帯=前走10着以下
中京,ダ,1800,2,芝ダ替わり,芝→ダ,頭数変化,今回頭数増,,,51,2,3.92,3887,22.41,0.175,1.31,消寄B,,芝ダ替わり=芝→ダ + 頭数変化=今回頭数増
中京,ダ,1800,2,芝ダ替わり,芝→ダ,前走4角位置,4角11番手以下,,,80,4,5.0,3887,22.41,0.223,2.06,消寄B,,芝ダ替わり=芝→ダ + 前走4角位置=4角11番手以下
中京,ダ,1800,2,前走上り順帯,上り10位以下,前走4角位置,4角11番手以下,,,203,11,5.42,3887,22.41,0.242,5.22,消寄C,,前走上り順帯=上り10位以下 + 前走4角位置=4角11番手以下
中京,ダ,1800,2,前走着順帯,前走10着以下,前走4角位置,4角11番手以下,,,415,25,6.02,3887,22.41,0.269,10.68,消寄C,,前走着順帯=前走10着以下 + 前走4角位置=4角11番手以下
中京,ダ,1800,2,芝ダ替わり,芝→ダ,前走脚質帯,追込/後方,,,114,7,6.14,3887,22.41,0.274,2.93,消寄C,,芝ダ替わり=芝→ダ + 前走脚質帯=追込/後方
中京,ダ,1800,2,前走上り順帯,上り10位以下,前走脚質帯,追込/後方,,,243,15,6.17,3887,22.41,0.275,6.25,消寄C,,前走上り順帯=上り10位以下 + 前走脚質帯=追込/後方
中京,ダ,1800,2,前走着順帯,前走10着以下,頭数変化,今回頭数増,,,198,13,6.57,3887,22.41,0.293,5.09,消寄C,,前走着順帯=前走10着以下 + 頭数変化=今回頭数増
中京,ダ,1800,2,前走着順帯,前走10着以下,前走脚質帯,追込/後方,,,484,32,6.61,3887,22.41,0.295,12.45,消寄C,,前走着順帯=前走10着以下 + 前走脚質帯=追込/後方
中京,ダ,1800,2,前走着差帯,2.0秒以上負け,前走4角位置,4角11番手以下,,,257,17,6.61,3887,22.41,0.295,6.61,消寄C,,前走着差帯=2.0秒以上負け + 前走4角位置=4角11番手以下
中京,ダ,1800,2,前走上り順帯,上り6-9位,前走4角位置,4角11番手以下,,,183,13,7.1,3887,22.41,0.317,4.71,消寄C,,前走上り順帯=上り6-9位 + 前走4角位置=4角11番手以下
中京,ダ,1800,2,前走着差帯,2.0秒以上負け,前走脚質帯,追込/後方,,,350,26,7.43,3887,22.41,0.332,9.0,消寄C,,前走着差帯=2.0秒以上負け + 前走脚質帯=追込/後方
中京,ダ,1800,2,芝ダ替わり,芝→ダ,前走着順帯,前走10着以下,,,150,12,8.0,3887,22.41,0.357,3.86,消寄C,,芝ダ替わり=芝→ダ + 前走着順帯=前走10着以下
中京,ダ,1900,2,前走着順帯,前走10着以下,休み明け区分,休み明け3戦目,,,48,0,0.0,1597,21.6,0.0,3.01,消寄A,,前走着順帯=前走10着以下 + 休み明け区分=休み明け3戦目
中京,ダ,1900,2,前走着順帯,前走10着以下,前走4角位置,4角2-3番手,,,42,0,0.0,1597,21.6,0.0,2.63,消寄A,,前走着順帯=前走10着以下 + 前走4角位置=4角2-3番手
中京,ダ,1900,2,前走着順帯,前走10着以下,前走上り順帯,上り4-5位,,,31,0,0.0,1597,21.6,0.0,1.94,消寄A,,前走着順帯=前走10着以下 + 前走上り順帯=上り4-5位
中京,ダ,1900,2,距離変化帯,延長500m以上,前走着順帯,前走10着以下,,,21,0,0.0,1597,21.6,0.0,1.31,消寄A,,距離変化帯=延長500m以上 + 前走着順帯=前走10着以下
中京,ダ,1900,2,前走着差帯,2.0秒以上負け,前走4角位置,4角11番手以下,,,113,1,0.88,1597,21.6,0.041,7.08,消寄A,,前走着差帯=2.0秒以上負け + 前走4角位置=4角11番手以下
中京,ダ,1900,2,前走上り順帯,上り10位以下,前走4角位置,4角11番手以下,,,73,1,1.37,1597,21.6,0.063,4.57,消寄A,,前走上り順帯=上り10位以下 + 前走4角位置=4角11番手以下
中京,ダ,1900,2,距離変化帯,短縮500m以上,前走着差帯,2.0秒以上負け,,,38,1,2.63,1597,21.6,0.122,2.38,消寄A,,距離変化帯=短縮500m以上 + 前走着差帯=2.0秒以上負け
中京,ダ,1900,2,前走着差帯,2.0秒以上負け,前走脚質帯,追込/後方,,,161,6,3.73,1597,21.6,0.173,10.08,消寄B,,前走着差帯=2.0秒以上負け + 前走脚質帯=追込/後方
中京,ダ,1900,2,前走着差帯,2.0秒以上負け,今回頭数帯,12-15頭,,,121,5,4.13,1597,21.6,0.191,7.58,消寄B,,前走着差帯=2.0秒以上負け + 今回頭数帯=12-15頭
中京,ダ,1900,2,前走上り順帯,上り10位以下,前走脚質帯,追込/後方,,,92,4,4.35,1597,21.6,0.201,5.76,消寄B,,前走上り順帯=上り10位以下 + 前走脚質帯=追込/後方
中京,ダ,1900,2,前走着順帯,前走10着以下,前走4角位置,4角11番手以下,,,182,8,4.4,1597,21.6,0.203,11.4,消寄B,,前走着順帯=前走10着以下 + 前走4角位置=4角11番手以下
中京,ダ,1900,2,前走着順帯,前走10着以下,前走脚質帯,追込/後方,,,216,12,5.56,1597,21.6,0.257,13.53,消寄C,,前走着順帯=前走10着以下 + 前走脚質帯=追込/後方
中京,ダ,1900,2,前走着順帯,前走10着以下,頭数変化,同頭数,,,169,11,6.51,1597,21.6,0.301,10.58,消寄C,,前走着順帯=前走10着以下 + 頭数変化=同頭数
中京,ダ,1900,2,前走着差帯,2.0秒以上負け,前走着順帯,前走10着以下,,,241,16,6.64,1597,21.6,0.307,15.09,消寄C,,前走着差帯=2.0秒以上負け + 前走着順帯=前走10着以下
中京,ダ,1900,2,前走着差帯,2.0秒以上負け,前走上り順帯,上り10位以下,,,192,13,6.77,1597,21.6,0.313,12.02,消寄C,,前走着差帯=2.0秒以上負け + 前走上り順帯=上り10位以下
中京,ダ,1900,2,前走着順帯,前走10着以下,今回頭数帯,16頭以上,,,233,17,7.3,1597,21.6,0.338,14.59,消寄C,,前走着順帯=前走10着以下 + 今回頭数帯=16頭以上
中京,ダ,1900,2,前走着順帯,前走10着以下,頭数変化,今回頭数減,,,105,8,7.62,1597,21.6,0.353,6.57,消寄C,,前走着順帯=前走10着以下 + 頭数変化=今回頭数減
中京,ダ,1900,2,距離変化帯,延長100-200m,前走着差帯,2.0秒以上負け,,,181,14,7.73,1597,21.6,0.358,11.33,消寄C,,距離変化帯=延長100-200m + 前走着差帯=2.0秒以上負け
中京,ダ,1900,2,前走着順帯,前走10着以下,休み明け区分,休み明け2戦目,,,125,10,8.0,1597,21.6,0.37,7.83,消寄C,,前走着順帯=前走10着以下 + 休み明け区分=休み明け2戦目
中京,芝,1200,2,前走着差帯,1.5-1.9秒負け,前走4角位置,4角4-6番手,,,26,0,0.0,2242,18.87,0.0,1.16,消寄A,,前走着差帯=1.5-1.9秒負け + 前走4角位置=4角4-6番手
中京,芝,1200,2,距離変化帯,延長100-200m,前走脚質帯,追込/後方,,,24,0,0.0,2242,18.87,0.0,1.07,消寄A,,距離変化帯=延長100-200m + 前走脚質帯=追込/後方
中京,芝,1200,2,距離変化帯,延長100-200m,前走4角位置,4角11番手以下,,,23,0,0.0,2242,18.87,0.0,1.03,消寄A,,距離変化帯=延長100-200m + 前走4角位置=4角11番手以下
中京,芝,1200,2,距離変化帯,延長100-200m,頭数変化,今回頭数増,,,20,0,0.0,2242,18.87,0.0,0.89,消寄A,,距離変化帯=延長100-200m + 頭数変化=今回頭数増
中京,芝,1200,2,距離変化帯,延長100-200m,休み明け区分,休み明け初戦,,,38,1,2.63,2242,18.87,0.139,1.69,消寄A,,距離変化帯=延長100-200m + 休み明け区分=休み明け初戦
中京,芝,1200,2,芝ダ替わり,ダ→芝,前走着差帯,1.0-1.4秒負け,,,37,1,2.7,2242,18.87,0.143,1.65,消寄A,,芝ダ替わり=ダ→芝 + 前走着差帯=1.0-1.4秒負け
中京,芝,1200,2,前走着差帯,1.0-1.4秒負け,前走4角位置,4角7-10番手,,,108,3,2.78,2242,18.87,0.147,4.82,消寄A,,前走着差帯=1.0-1.4秒負け + 前走4角位置=4角7-10番手
中京,芝,1200,2,芝ダ替わり,ダ→芝,頭数変化,今回かなり頭数増,,,51,2,3.92,2242,18.87,0.208,2.27,消寄B,,芝ダ替わり=ダ→芝 + 頭数変化=今回かなり頭数増
中京,芝,1200,2,前走着差帯,1.0-1.4秒負け,頭数変化,同頭数,,,72,3,4.17,2242,18.87,0.221,3.21,消寄B,,前走着差帯=1.0-1.4秒負け + 頭数変化=同頭数
中京,芝,1200,2,前走上り順帯,上り4-5位,前走4角位置,4角11番手以下,,,65,3,4.62,2242,18.87,0.245,2.9,消寄B,,前走上り順帯=上り4-5位 + 前走4角位置=4角11番手以下
中京,芝,1200,2,前走着順帯,前走10着以下,前走上り順帯,上り6-9位,,,128,6,4.69,2242,18.87,0.248,5.71,消寄B,,前走着順帯=前走10着以下 + 前走上り順帯=上り6-9位
中京,芝,1200,2,前走着差帯,1.0-1.4秒負け,今回頭数帯,12-15頭,,,61,3,4.92,2242,18.87,0.261,2.72,消寄B,,前走着差帯=1.0-1.4秒負け + 今回頭数帯=12-15頭
中京,芝,1200,2,前走着差帯,2.0秒以上負け,今回頭数帯,16頭以上,,,120,7,5.83,2242,18.87,0.309,5.35,消寄C,,前走着差帯=2.0秒以上負け + 今回頭数帯=16頭以上
中京,芝,1200,2,前走着差帯,1.0-1.4秒負け,前走脚質帯,差し/中団,,,137,8,5.84,2242,18.87,0.31,6.11,消寄C,,前走着差帯=1.0-1.4秒負け + 前走脚質帯=差し/中団
中京,芝,1200,2,前走着順帯,前走10着以下,前走脚質帯,追込/後方,,,260,16,6.15,2242,18.87,0.326,11.6,消寄C,,前走着順帯=前走10着以下 + 前走脚質帯=追込/後方
中京,芝,1200,2,前走着順帯,前走10着以下,前走4角位置,4角11番手以下,,,226,14,6.19,2242,18.87,0.328,10.08,消寄C,,前走着順帯=前走10着以下 + 前走4角位置=4角11番手以下
中京,芝,1200,2,前走着差帯,1.0-1.4秒負け,前走脚質帯,追込/後方,,,107,7,6.54,2242,18.87,0.347,4.77,消寄C,,前走着差帯=1.0-1.4秒負け + 前走脚質帯=追込/後方
中京,芝,1200,2,芝ダ替わり,ダ→芝,今回頭数帯,16頭以上,,,173,12,6.94,2242,18.87,0.368,7.72,消寄C,,芝ダ替わり=ダ→芝 + 今回頭数帯=16頭以上
中京,芝,1200,2,芝ダ替わり,ダ→芝,距離変化帯,同距離,,,109,8,7.34,2242,18.87,0.389,4.86,消寄C,,芝ダ替わり=ダ→芝 + 距離変化帯=同距離
中京,芝,1200,2,前走着差帯,1.0-1.4秒負け,前走着順帯,前走10着以下,,,249,19,7.63,2242,18.87,0.404,11.11,消寄C,,前走着差帯=1.0-1.4秒負け + 前走着順帯=前走10着以下
中京,芝,1400,2,前走着差帯,2.0秒以上負け,前走4角位置,4角7-10番手,,,68,0,0.0,2672,19.69,0.0,2.54,消寄A,,前走着差帯=2.0秒以上負け + 前走4角位置=4角7-10番手
中京,芝,1400,2,距離変化帯,延長100-200m,前走着差帯,2.0秒以上負け,,,47,0,0.0,2672,19.69,0.0,1.76,消寄A,,距離変化帯=延長100-200m + 前走着差帯=2.0秒以上負け
中京,芝,1400,2,前走着差帯,2.0秒以上負け,頭数変化,同頭数,,,26,0,0.0,2672,19.69,0.0,0.97,消寄A,,前走着差帯=2.0秒以上負け + 頭数変化=同頭数
中京,芝,1400,2,芝ダ替わり,ダ→芝,前走4角位置,4角1番手,,,56,1,1.79,2672,19.69,0.091,2.1,消寄A,,芝ダ替わり=ダ→芝 + 前走4角位置=4角1番手
中京,芝,1400,2,前走着差帯,1.5-1.9秒負け,前走4角位置,4角7-10番手,,,56,1,1.79,2672,19.69,0.091,2.1,消寄A,,前走着差帯=1.5-1.9秒負け + 前走4角位置=4角7-10番手
中京,芝,1400,2,芝ダ替わり,ダ→芝,前走脚質帯,逃げ,,,53,1,1.89,2672,19.69,0.096,1.98,消寄A,,芝ダ替わり=ダ→芝 + 前走脚質帯=逃げ
中京,芝,1400,2,距離変化帯,延長100-200m,前走着差帯,1.5-1.9秒負け,,,48,1,2.08,2672,19.69,0.106,1.8,消寄A,,距離変化帯=延長100-200m + 前走着差帯=1.5-1.9秒負け
中京,芝,1400,2,前走上り順帯,上り10位以下,前走4角位置,4角7-10番手,,,164,4,2.44,2672,19.69,0.124,6.14,消寄A,,前走上り順帯=上り10位以下 + 前走4角位置=4角7-10番手
中京,芝,1400,2,前走着差帯,2.0秒以上負け,前走脚質帯,差し/中団,,,82,2,2.44,2672,19.69,0.124,3.07,消寄A,,前走着差帯=2.0秒以上負け + 前走脚質帯=差し/中団
中京,芝,1400,2,芝ダ替わり,ダ→芝,前走着差帯,1.5-1.9秒負け,,,40,1,2.5,2672,19.69,0.127,1.5,消寄A,,芝ダ替わり=ダ→芝 + 前走着差帯=1.5-1.9秒負け
中京,芝,1400,2,前走着差帯,1.0-1.4秒負け,前走上り順帯,上り1-3位,,,35,1,2.86,2672,19.69,0.145,1.31,消寄A,,前走着差帯=1.0-1.4秒負け + 前走上り順帯=上り1-3位
中京,芝,1400,2,芝ダ替わり,ダ→芝,頭数変化,今回かなり頭数増,,,99,3,3.03,2672,19.69,0.154,3.71,消寄B,,芝ダ替わり=ダ→芝 + 頭数変化=今回かなり頭数増
中京,芝,1400,2,前走着差帯,1.5-1.9秒負け,前走4角位置,4角11番手以下,,,61,2,3.28,2672,19.69,0.167,2.28,消寄B,,前走着差帯=1.5-1.9秒負け + 前走4角位置=4角11番手以下
中京,芝,1400,2,前走着差帯,1.5-1.9秒負け,前走脚質帯,追込/後方,,,73,3,4.11,2672,19.69,0.209,2.73,消寄B,,前走着差帯=1.5-1.9秒負け + 前走脚質帯=追込/後方
中京,芝,1400,2,芝ダ替わり,ダ→芝,前走着差帯,2.0秒以上負け,,,118,5,4.24,2672,19.69,0.215,4.42,消寄B,,芝ダ替わり=ダ→芝 + 前走着差帯=2.0秒以上負け
中京,芝,1400,2,前走着順帯,前走10着以下,前走4角位置,4角7-10番手,,,211,9,4.27,2672,19.69,0.217,7.9,消寄B,,前走着順帯=前走10着以下 + 前走4角位置=4角7-10番手
中京,芝,1400,2,芝ダ替わり,ダ→芝,前走着順帯,前走10着以下,,,162,8,4.94,2672,19.69,0.251,6.06,消寄B,,芝ダ替わり=ダ→芝 + 前走着順帯=前走10着以下
中京,芝,1400,2,芝ダ替わり,ダ→芝,休み明け区分,休み明け4戦目以降,,,80,4,5.0,2672,19.69,0.254,2.99,消寄B,,芝ダ替わり=ダ→芝 + 休み明け区分=休み明け4戦目以降
中京,芝,1400,2,前走着差帯,2.0秒以上負け,休み明け区分,休み明け初戦,,,116,6,5.17,2672,19.69,0.263,4.34,消寄C,,前走着差帯=2.0秒以上負け + 休み明け区分=休み明け初戦
中京,芝,1400,2,距離変化帯,延長100-200m,前走着順帯,前走10着以下,,,242,13,5.37,2672,19.69,0.273,9.06,消寄C,,距離変化帯=延長100-200m + 前走着順帯=前走10着以下
中京,芝,1600,2,芝ダ替わり,ダ→芝,前走着差帯,勝ち/同タイム,,,45,0,0.0,2824,22.77,0.0,1.59,消寄A,,芝ダ替わり=ダ→芝 + 前走着差帯=勝ち/同タイム
中京,芝,1600,2,芝ダ替わり,ダ→芝,前走着順帯,前走1着,,,43,0,0.0,2824,22.77,0.0,1.52,消寄A,,芝ダ替わり=ダ→芝 + 前走着順帯=前走1着
中京,芝,1600,2,芝ダ替わり,ダ→芝,前走脚質帯,逃げ,,,27,0,0.0,2824,22.77,0.0,0.96,消寄A,,芝ダ替わり=ダ→芝 + 前走脚質帯=逃げ
中京,芝,1600,2,距離変化帯,延長300-400m,前走着差帯,2.0秒以上負け,,,25,0,0.0,2824,22.77,0.0,0.89,消寄A,,距離変化帯=延長300-400m + 前走着差帯=2.0秒以上負け
中京,芝,1600,2,距離変化帯,延長300-400m,休み明け区分,休み明け3戦目,,,25,0,0.0,2824,22.77,0.0,0.89,消寄A,,距離変化帯=延長300-400m + 休み明け区分=休み明け3戦目
中京,芝,1600,2,距離変化帯,延長300-400m,前走着差帯,1.5-1.9秒負け,,,20,0,0.0,2824,22.77,0.0,0.71,消寄A,,距離変化帯=延長300-400m + 前走着差帯=1.5-1.9秒負け
中京,芝,1600,2,前走着差帯,1.5-1.9秒負け,前走上り順帯,上り4-5位,,,20,0,0.0,2824,22.77,0.0,0.71,消寄A,,前走着差帯=1.5-1.9秒負け + 前走上り順帯=上り4-5位
中京,芝,1600,2,前走着差帯,1.5-1.9秒負け,頭数変化,今回かなり頭数増,,,20,0,0.0,2824,22.77,0.0,0.71,消寄A,,前走着差帯=1.5-1.9秒負け + 頭数変化=今回かなり頭数増
中京,芝,1600,2,距離変化帯,延長300-400m,頭数変化,今回頭数減,,,53,1,1.89,2824,22.77,0.083,1.88,消寄A,,距離変化帯=延長300-400m + 頭数変化=今回頭数減
中京,芝,1600,2,距離変化帯,延長300-400m,前走4角位置,4角7-10番手,,,47,1,2.13,2824,22.77,0.093,1.66,消寄A,,距離変化帯=延長300-400m + 前走4角位置=4角7-10番手
中京,芝,1600,2,芝ダ替わり,ダ→芝,前走脚質帯,追込/後方,,,90,2,2.22,2824,22.77,0.098,3.19,消寄A,,芝ダ替わり=ダ→芝 + 前走脚質帯=追込/後方
中京,芝,1600,2,距離変化帯,延長300-400m,休み明け区分,休み明け初戦,,,45,1,2.22,2824,22.77,0.098,1.59,消寄A,,距離変化帯=延長300-400m + 休み明け区分=休み明け初戦
中京,芝,1600,2,距離変化帯,延長300-400m,今回頭数帯,16頭以上,,,88,2,2.27,2824,22.77,0.1,3.12,消寄A,,距離変化帯=延長300-400m + 今回頭数帯=16頭以上
中京,芝,1600,2,距離変化帯,延長300-400m,頭数変化,同頭数,,,40,1,2.5,2824,22.77,0.11,1.42,消寄A,,距離変化帯=延長300-400m + 頭数変化=同頭数
中京,芝,1600,2,距離変化帯,延長300-400m,休み明け区分,休み明け2戦目,,,39,1,2.56,2824,22.77,0.113,1.38,消寄A,,距離変化帯=延長300-400m + 休み明け区分=休み明け2戦目
中京,芝,1600,2,距離変化帯,延長300-400m,前走上り順帯,上り6-9位,,,38,1,2.63,2824,22.77,0.116,1.35,消寄A,,距離変化帯=延長300-400m + 前走上り順帯=上り6-9位
