場所,コースタイプ,芝・ダ,距離帯,馬場分類,枠ゾーン,血統区分,血統名,母数,勝利数,複勝数,勝率,複勝率,単勝回収率,複勝回収率,平均人気,基準複勝率,複勝率差,リフト,評価,特徴コメント
東京,直線長め・持続型,ダ,短中距離(1400-1600),重不良,中枠(3-6),父系統,父系統不明,580,45,127,0.0776,0.219,96.6,0.0,7.68,0.1943,0.0247,1.127,A,東京ダ短中距離(1400-1600)・重不良・中枠(3-6)で父系統「父系統不明」は基準比リフト1.127
阪神,坂あり・パワー型,ダ,中距離(1700-2000),稍,外枠(7-8),父系統,ネイティヴダンサー系,311,28,85,0.09,0.2733,88.6,0.0,6.84,0.2427,0.0306,1.126,A,阪神ダ中距離(1700-2000)・稍・外枠(7-8)で父系統「ネイティヴダンサー系」は基準比リフト1.126
中山,坂あり・パワー型,ダ,中距離(1700-2000),重不良,外枠(7-8),父系統,父系統不明,159,16,45,0.1006,0.283,44.0,0.0,6.85,0.2515,0.0315,1.125,A,中山ダ中距離(1700-2000)・重不良・外枠(7-8)で父系統「父系統不明」は基準比リフト1.125
京都,平坦・スピード型,芝,中長距離(2100-2400),良,中枠(3-6),父系統,ネイティヴダンサー系,243,19,64,0.0782,0.2634,49.4,0.0,6.66,0.2341,0.0293,1.125,A,京都芝中長距離(2100-2400)・良・中枠(3-6)で父系統「ネイティヴダンサー系」は基準比リフト1.125
京都,平坦・スピード型,芝,短距離(1000-1300),良,中枠(3-6),父系統,父系統不明,254,20,59,0.0787,0.2323,51.1,0.0,7.74,0.2064,0.0259,1.125,A,京都芝短距離(1000-1300)・良・中枠(3-6)で父系統「父系統不明」は基準比リフト1.125
京都,平坦・スピード型,ダ,短中距離(1400-1600),稍,中枠(3-6),父系統,父系統不明,207,15,48,0.0725,0.2319,49.6,0.0,7.74,0.2062,0.0257,1.125,A,京都ダ短中距離(1400-1600)・稍・中枠(3-6)で父系統「父系統不明」は基準比リフト1.125
小倉,小回り・機動型,芝,短距離(1000-1300),良,中枠(3-6),父系統,ナスルーラ系,662,47,145,0.071,0.219,103.4,0.0,8.41,0.1949,0.0241,1.124,A,小倉芝短距離(1000-1300)・良・中枠(3-6)で父系統「ナスルーラ系」は基準比リフト1.124
中京,直線長め・持続型,芝,中長距離(2100-2400),良,外枠(7-8),父系統,ロイヤルチャージャー系,382,30,99,0.0785,0.2592,46.8,0.0,7.38,0.2308,0.0284,1.123,A,中京芝中長距離(2100-2400)・良・外枠(7-8)で父系統「ロイヤルチャージャー系」は基準比リフト1.123
阪神,坂あり・パワー型,ダ,中距離(1700-2000),良,中枠(3-6),父系統,父系統不明,1818,153,464,0.0842,0.2552,69.3,0.0,6.84,0.2273,0.0279,1.123,A,阪神ダ中距離(1700-2000)・良・中枠(3-6)で父系統「父系統不明」は基準比リフト1.123
東京,直線長め・持続型,ダ,短距離(1000-1300),良,中枠(3-6),父系統,ネイティヴダンサー系,548,35,121,0.0639,0.2208,52.3,0.0,7.99,0.1967,0.0241,1.123,A,東京ダ短距離(1000-1300)・良・中枠(3-6)で父系統「ネイティヴダンサー系」は基準比リフト1.123
中京,直線長め・持続型,ダ,短中距離(1400-1600),良,外枠(7-8),父系統,ニアークティック系,170,9,37,0.0529,0.2176,34.5,0.0,8.08,0.1938,0.0238,1.123,A,中京ダ短中距離(1400-1600)・良・外枠(7-8)で父系統「ニアークティック系」は基準比リフト1.123
京都,平坦・スピード型,芝,短距離(1000-1300),良,外枠(7-8),父系統,ニアークティック系,215,13,42,0.0605,0.1953,96.4,0.0,8.15,0.1739,0.0214,1.123,A,京都芝短距離(1000-1300)・良・外枠(7-8)で父系統「ニアークティック系」は基準比リフト1.123
小倉,小回り・機動型,芝,中距離(1700-2000),稍,内枠(1-2),父系統,父系統不明,172,18,46,0.1047,0.2674,98.9,0.0,7.27,0.2384,0.029,1.122,A,小倉芝中距離(1700-2000)・稍・内枠(1-2)で父系統「父系統不明」は基準比リフト1.122
中京,直線長め・持続型,芝,中距離(1700-2000),良,内枠(1-2),父系統,ニアークティック系,194,20,49,0.1031,0.2526,84.9,0.0,7.65,0.2251,0.0275,1.122,A,中京芝中距離(1700-2000)・良・内枠(1-2)で父系統「ニアークティック系」は基準比リフト1.122
中京,直線長め・持続型,芝,短中距離(1400-1600),稍,外枠(7-8),父系統,ロイヤルチャージャー系,257,22,61,0.0856,0.2374,91.1,0.0,7.65,0.2116,0.0258,1.122,A,中京芝短中距離(1400-1600)・稍・外枠(7-8)で父系統「ロイヤルチャージャー系」は基準比リフト1.122
