コースタイプ,芝・ダ,血統区分,血統名,強条件数,最大リフト,平均複勝率,最大複勝回収率,合計母数
坂あり・パワー型,ダ,父,ブライアンズタイム,1,1.085,0.2159,0.0,88
直線長め・平坦型,芝,母父,サクラバクシンオー,1,1.085,0.1858,0.0,113
直線長め・平坦型,ダ,父,クロフネ,1,1.084,0.2324,0.0,142
平坦・スピード型,ダ,母父,ダンスインザダーク,1,1.082,0.2165,0.0,97
直線長め・持続型,ダ,父,ネオユニヴァース,1,1.081,0.2158,0.0,241
坂あり・パワー型,芝,母父,ダンスインザダーク,1,1.08,0.259,0.0,139
直線長め・持続型,芝,母父系統,母父系統不明,1,1.08,0.219,0.0,105
平坦・スピード型,ダ,母父,フォーティナイナー,1,1.079,0.2353,0.0,102
坂あり・パワー型,ダ,母父,ディープインパクト,1,1.077,0.2143,0.0,126
小回り・持続型,芝,父,ダイワメジャー,1,1.073,0.25,0.0,132
直線長め・平坦型,芝,父系統,ニアークティック系,1,1.073,0.1837,0.0,566
直線長め・持続型,ダ,母父,Storm Cat,1,1.07,0.2136,0.0,103
坂あり・パワー型,ダ,母父,アフリート,1,1.065,0.2119,0.0,151
直線長め・持続型,ダ,父,アイルハヴアナザー,1,1.062,0.2121,0.0,99
直線長め・持続型,ダ,父,ルーラーシップ,1,1.061,0.2119,0.0,118
坂あり・パワー型,芝,父,フジキセキ,1,1.06,0.23,0.0,100
坂あり・パワー型,ダ,父,キングヘイロー,1,1.06,0.2043,0.0,93
平坦・スピード型,芝,母父,ダンスインザダーク,1,1.059,0.2598,0.0,127
直線長め・持続型,ダ,母父系統,マンノウォー系,1,1.059,0.2115,0.0,104
直線長め・平坦型,芝,母父,フレンチデピュティ,1,1.059,0.2062,0.0,97
直線長め・持続型,ダ,母父,ダンスインザダーク,1,1.059,0.1776,0.0,152
小回り・機動型,芝,父,スペシャルウィーク,1,1.058,0.2346,0.0,81
直線長め・持続型,芝,父,ローエングリン,1,1.057,0.2143,0.0,84
平坦・スピード型,芝,母父,フジキセキ,1,1.052,0.2299,0.0,87
平坦・スピード型,ダ,母父,トニービン,1,1.052,0.2294,0.0,109
直線長め・持続型,芝,母父,ダンスインザダーク,1,1.052,0.2157,0.0,102
直線長め・持続型,ダ,母父,アグネスタキオン,1,1.052,0.21,0.0,281
直線長め・持続型,ダ,父,ジャスタウェイ,1,1.051,0.2099,0.0,81
直線長め・持続型,ダ,父,ロージズインメイ,1,1.05,0.2096,0.0,167
小回り・機動型,ダ,母父,サクラバクシンオー,1,1.05,0.1977,0.0,86
