場所,コースタイプ,芝・ダ,距離帯,馬場分類,枠ゾーン,血統区分,血統名,母数,勝利数,複勝数,勝率,複勝率,単勝回収率,複勝回収率,平均人気,基準複勝率,複勝率差,リフト,評価,特徴コメント
京都,平坦・スピード型,芝,中距離(1700-2000),良,中枠(3-6),父,ハービンジャー,177,21,51,0.1186,0.2881,129.4,0.0,6.73,0.2454,0.0427,1.174,A,京都芝中距離(1700-2000)・良・中枠(3-6)で父「ハービンジャー」は基準比リフト1.174
阪神,坂あり・パワー型,ダ,中距離(1700-2000),良,外枠(7-8),父,キングカメハメハ,182,15,50,0.0824,0.2747,40.2,0.0,6.29,0.2351,0.0396,1.168,A,阪神ダ中距離(1700-2000)・良・外枠(7-8)で父「キングカメハメハ」は基準比リフト1.168
京都,平坦・スピード型,芝,中距離(1700-2000),良,中枠(3-6),父,ステイゴールド,193,20,55,0.1036,0.285,64.0,0.0,6.61,0.2454,0.0396,1.161,A,京都芝中距離(1700-2000)・良・中枠(3-6)で父「ステイゴールド」は基準比リフト1.161
阪神,坂あり・パワー型,芝,中距離(1700-2000),良,中枠(3-6),父,ステイゴールド,169,13,47,0.0769,0.2781,67.7,0.0,7.36,0.2399,0.0382,1.159,A,阪神芝中距離(1700-2000)・良・中枠(3-6)で父「ステイゴールド」は基準比リフト1.159
東京,直線長め・持続型,ダ,短中距離(1400-1600),良,中枠(3-6),父,キンシャサノキセキ,203,14,47,0.069,0.2315,57.9,0.0,7.3,0.1997,0.0318,1.159,A,東京ダ短中距離(1400-1600)・良・中枠(3-6)で父「キンシャサノキセキ」は基準比リフト1.159
東京,直線長め・持続型,ダ,短中距離(1400-1600),良,中枠(3-6),父,ゼンノロブロイ,203,14,47,0.069,0.2315,36.8,0.0,7.22,0.1997,0.0318,1.159,A,東京ダ短中距離(1400-1600)・良・中枠(3-6)で父「ゼンノロブロイ」は基準比リフト1.159
阪神,坂あり・パワー型,芝,中距離(1700-2000),良,中枠(3-6),父,ハーツクライ,329,35,91,0.1064,0.2766,75.1,0.0,5.8,0.2399,0.0367,1.153,A,阪神芝中距離(1700-2000)・良・中枠(3-6)で父「ハーツクライ」は基準比リフト1.153
東京,直線長め・持続型,芝,中距離(1700-2000),良,中枠(3-6),父,ゼンノロブロイ,151,13,41,0.0861,0.2715,62.5,0.0,6.99,0.237,0.0345,1.146,A,東京芝中距離(1700-2000)・良・中枠(3-6)で父「ゼンノロブロイ」は基準比リフト1.146
東京,直線長め・持続型,ダ,短中距離(1400-1600),良,中枠(3-6),父,クロフネ,394,43,90,0.1091,0.2284,88.5,0.0,7.19,0.1997,0.0287,1.144,A,東京ダ短中距離(1400-1600)・良・中枠(3-6)で父「クロフネ」は基準比リフト1.144
京都,平坦・スピード型,芝,短中距離(1400-1600),良,中枠(3-6),父,キングカメハメハ,225,23,55,0.1022,0.2444,73.2,0.0,6.4,0.2142,0.0302,1.141,A,京都芝短中距離(1400-1600)・良・中枠(3-6)で父「キングカメハメハ」は基準比リフト1.141
新潟,直線長め・平坦型,芝,中距離(1700-2000),良,中枠(3-6),父,ステイゴールド,167,11,41,0.0659,0.2455,75.6,0.0,7.24,0.2171,0.0284,1.131,A,新潟芝中距離(1700-2000)・良・中枠(3-6)で父「ステイゴールド」は基準比リフト1.131
福島,小回り・機動型,芝,中距離(1700-2000),良,中枠(3-6),父,ハーツクライ,166,10,41,0.0602,0.247,62.7,0.0,6.48,0.2188,0.0282,1.129,A,福島芝中距離(1700-2000)・良・中枠(3-6)で父「ハーツクライ」は基準比リフト1.129
福島,小回り・機動型,芝,短距離(1000-1300),良,中枠(3-6),父,ダイワメジャー,202,12,43,0.0594,0.2129,38.2,0.0,6.94,0.1887,0.0242,1.128,A,福島芝短距離(1000-1300)・良・中枠(3-6)で父「ダイワメジャー」は基準比リフト1.128
東京,直線長め・持続型,芝,短中距離(1400-1600),良,中枠(3-6),父,マンハッタンカフェ,158,12,36,0.0759,0.2278,293.9,0.0,6.49,0.2028,0.025,1.123,A,東京芝短中距離(1400-1600)・良・中枠(3-6)で父「マンハッタンカフェ」は基準比リフト1.123
京都,平坦・スピード型,ダ,中距離(1700-2000),良,中枠(3-6),父,クロフネ,270,20,66,0.0741,0.2444,51.2,0.0,7.0,0.2181,0.0263,1.121,A,京都ダ中距離(1700-2000)・良・中枠(3-6)で父「クロフネ」は基準比リフト1.121
阪神,坂あり・パワー型,ダ,中距離(1700-2000),良,中枠(3-6),父,ハーツクライ,166,13,42,0.0783,0.253,60.2,0.0,6.35,0.2273,0.0257,1.113,A,阪神ダ中距離(1700-2000)・良・中枠(3-6)で父「ハーツクライ」は基準比リフト1.113
阪神,坂あり・パワー型,芝,中距離(1700-2000),良,中枠(3-6),父,キングカメハメハ,293,26,78,0.0887,0.2662,52.8,0.0,5.83,0.2399,0.0263,1.11,A,阪神芝中距離(1700-2000)・良・中枠(3-6)で父「キングカメハメハ」は基準比リフト1.11
中山,坂あり・パワー型,ダ,短距離(1000-1300),良,中枠(3-6),父,クロフネ,150,12,32,0.08,0.2133,67.3,0.0,8.32,0.1927,0.0206,1.107,A,中山ダ短距離(1000-1300)・良・中枠(3-6)で父「クロフネ」は基準比リフト1.107
阪神,坂あり・パワー型,芝,中距離(1700-2000),良,中枠(3-6),父,ルーラーシップ,155,11,41,0.071,0.2645,53.0,0.0,6.85,0.2399,0.0246,1.103,A,阪神芝中距離(1700-2000)・良・中枠(3-6)で父「ルーラーシップ」は基準比リフト1.103
阪神,坂あり・パワー型,芝,短中距離(1400-1600),良,中枠(3-6),父,ステイゴールド,155,18,37,0.1161,0.2387,112.2,0.0,7.41,0.2169,0.0218,1.101,A,阪神芝短中距離(1400-1600)・良・中枠(3-6)で父「ステイゴールド」は基準比リフト1.101
東京,直線長め・持続型,ダ,短中距離(1400-1600),良,外枠(7-8),父,シニスターミニスター,98,15,42,0.1531,0.4286,194.1,0.0,6.28,0.2165,0.2121,1.98,B,東京ダ短中距離(1400-1600)・良・外枠(7-8)で父「シニスターミニスター」は基準比リフト1.98
東京,直線長め・持続型,ダ,短中距離(1400-1600),良,外枠(7-8),父,ゼンノロブロイ,102,13,43,0.1275,0.4216,304.7,0.0,7.14,0.2165,0.2051,1.947,B,東京ダ短中距離(1400-1600)・良・外枠(7-8)で父「ゼンノロブロイ」は基準比リフト1.947
中京,直線長め・持続型,芝,中距離(1700-2000),良,内枠(1-2),父,ディープインパクト,110,19,48,0.1727,0.4364,86.4,0.0,5.23,0.2251,0.2113,1.939,B,中京芝中距離(1700-2000)・良・内枠(1-2)で父「ディープインパクト」は基準比リフト1.939
小倉,小回り・機動型,ダ,中距離(1700-2000),良,中枠(3-6),父,ネオユニヴァース,96,15,35,0.1562,0.3646,189.2,0.0,7.24,0.1947,0.1699,1.873,B,小倉ダ中距離(1700-2000)・良・中枠(3-6)で父「ネオユニヴァース」は基準比リフト1.873
東京,直線長め・持続型,ダ,短中距離(1400-1600),良,中枠(3-6),父,ヴァーミリアン,102,12,38,0.1176,0.3725,49.0,0.0,6.74,0.1997,0.1728,1.865,B,東京ダ短中距離(1400-1600)・良・中枠(3-6)で父「ヴァーミリアン」は基準比リフト1.865
中山,坂あり・パワー型,芝,中距離(1700-2000),良,内枠(1-2),父,キングカメハメハ,93,17,38,0.1828,0.4086,69.9,0.0,5.39,0.2217,0.1869,1.843,B,中山芝中距離(1700-2000)・良・内枠(1-2)で父「キングカメハメハ」は基準比リフト1.843
中山,坂あり・パワー型,芝,短距離(1000-1300),良,中枠(3-6),父,ダイワメジャー,128,14,47,0.1094,0.3672,46.2,0.0,5.62,0.2011,0.1661,1.826,B,中山芝短距離(1000-1300)・良・中枠(3-6)で父「ダイワメジャー」は基準比リフト1.826
中山,坂あり・パワー型,芝,中距離(1700-2000),良,中枠(3-6),父,ロードカナロア,84,13,33,0.1548,0.3929,74.9,0.0,5.1,0.2165,0.1764,1.815,B,中山芝中距離(1700-2000)・良・中枠(3-6)で父「ロードカナロア」は基準比リフト1.815
中山,坂あり・パワー型,ダ,短距離(1000-1300),良,中枠(3-6),父,ヘニーヒューズ,141,28,49,0.1986,0.3475,95.0,0.0,5.63,0.1927,0.1548,1.803,B,中山ダ短距離(1000-1300)・良・中枠(3-6)で父「ヘニーヒューズ」は基準比リフト1.803
札幌,小回り・持続型,ダ,中距離(1700-2000),良,中枠(3-6),父,ゴールドアリュール,104,12,46,0.1154,0.4423,106.6,0.0,5.95,0.2469,0.1954,1.791,B,札幌ダ中距離(1700-2000)・良・中枠(3-6)で父「ゴールドアリュール」は基準比リフト1.791
中京,直線長め・持続型,芝,中距離(1700-2000),良,外枠(7-8),父,ディープインパクト,149,23,52,0.1544,0.349,76.0,0.0,5.05,0.1964,0.1526,1.777,B,中京芝中距離(1700-2000)・良・外枠(7-8)で父「ディープインパクト」は基準比リフト1.777
中山,坂あり・パワー型,ダ,短距離(1000-1300),良,外枠(7-8),父,ヘニーヒューズ,81,14,29,0.1728,0.358,152.3,0.0,6.37,0.2034,0.1546,1.76,B,中山ダ短距離(1000-1300)・良・外枠(7-8)で父「ヘニーヒューズ」は基準比リフト1.76
新潟,直線長め・平坦型,芝,中長距離(2100-2400),良,中枠(3-6),父,ディープインパクト,87,8,35,0.092,0.4023,43.3,0.0,5.62,0.229,0.1733,1.757,B,新潟芝中長距離(2100-2400)・良・中枠(3-6)で父「ディープインパクト」は基準比リフト1.757
新潟,直線長め・平坦型,芝,中距離(1700-2000),良,内枠(1-2),父,ディープインパクト,129,14,42,0.1085,0.3256,90.2,0.0,5.62,0.1874,0.1382,1.737,B,新潟芝中距離(1700-2000)・良・内枠(1-2)で父「ディープインパクト」は基準比リフト1.737
京都,平坦・スピード型,ダ,中距離(1700-2000),良,中枠(3-6),父,ディープインパクト,80,10,30,0.125,0.375,98.2,0.0,4.88,0.2181,0.1569,1.719,B,京都ダ中距離(1700-2000)・良・中枠(3-6)で父「ディープインパクト」は基準比リフト1.719
福島,小回り・機動型,芝,中距離(1700-2000),良,外枠(7-8),父,ハーツクライ,93,8,30,0.086,0.3226,36.0,0.0,6.33,0.1878,0.1348,1.718,B,福島芝中距離(1700-2000)・良・外枠(7-8)で父「ハーツクライ」は基準比リフト1.718
東京,直線長め・持続型,芝,短中距離(1400-1600),良,中枠(3-6),父,エピファネイア,125,21,43,0.168,0.344,272.8,0.0,5.56,0.2028,0.1412,1.696,B,東京芝短中距離(1400-1600)・良・中枠(3-6)で父「エピファネイア」は基準比リフト1.696
中山,坂あり・パワー型,芝,短中距離(1400-1600),良,外枠(7-8),父,ダイワメジャー,104,8,33,0.0769,0.3173,32.8,0.0,6.67,0.1887,0.1286,1.682,B,中山芝短中距離(1400-1600)・良・外枠(7-8)で父「ダイワメジャー」は基準比リフト1.682
京都,平坦・スピード型,ダ,中距離(1700-2000),良,内枠(1-2),父,ネオユニヴァース,85,12,33,0.1412,0.3882,169.8,0.0,6.59,0.2314,0.1568,1.678,B,京都ダ中距離(1700-2000)・良・内枠(1-2)で父「ネオユニヴァース」は基準比リフト1.678
中山,坂あり・パワー型,芝,短中距離(1400-1600),良,外枠(7-8),父,ディープインパクト,133,16,42,0.1203,0.3158,54.1,0.0,5.46,0.1887,0.1271,1.674,B,中山芝短中距離(1400-1600)・良・外枠(7-8)で父「ディープインパクト」は基準比リフト1.674
東京,直線長め・持続型,芝,中距離(1700-2000),良,中枠(3-6),父,ロードカナロア,111,10,44,0.0901,0.3964,28.7,0.0,4.93,0.237,0.1594,1.673,B,東京芝中距離(1700-2000)・良・中枠(3-6)で父「ロードカナロア」は基準比リフト1.673
東京,直線長め・持続型,芝,中距離(1700-2000),良,中枠(3-6),父,キズナ,86,10,34,0.1163,0.3953,99.7,0.0,6.03,0.237,0.1583,1.668,B,東京芝中距離(1700-2000)・良・中枠(3-6)で父「キズナ」は基準比リフト1.668
中山,坂あり・パワー型,芝,中距離(1700-2000),良,外枠(7-8),父,キングカメハメハ,133,15,46,0.1128,0.3459,67.5,0.0,5.71,0.2074,0.1385,1.668,B,中山芝中距離(1700-2000)・良・外枠(7-8)で父「キングカメハメハ」は基準比リフト1.668
新潟,直線長め・平坦型,芝,短中距離(1400-1600),良,中枠(3-6),父,ハーツクライ,130,12,42,0.0923,0.3231,86.3,0.0,7.13,0.1947,0.1284,1.659,B,新潟芝短中距離(1400-1600)・良・中枠(3-6)で父「ハーツクライ」は基準比リフト1.659
東京,直線長め・持続型,ダ,短中距離(1400-1600),良,中枠(3-6),父,ロードカナロア,142,20,47,0.1408,0.331,72.0,0.0,6.2,0.1997,0.1313,1.657,B,東京ダ短中距離(1400-1600)・良・中枠(3-6)で父「ロードカナロア」は基準比リフト1.657
中山,坂あり・パワー型,ダ,短距離(1000-1300),良,外枠(7-8),父,キンシャサノキセキ,95,12,32,0.1263,0.3368,72.4,0.0,5.76,0.2034,0.1334,1.656,B,中山ダ短距離(1000-1300)・良・外枠(7-8)で父「キンシャサノキセキ」は基準比リフト1.656
